index,income_total
0,202500
1,247500
2,450000
3,202500
4,157500
5,270000
6,315000
7,270000
8,180000
9,103500
10,193500
11,135000
12,157500
13,135000
14,157500
15,157500
16,180000
17,270000
18,216000
19,180000
20,180000
21,157500
22,157500
23,225000
24,202500
25,225000
26,135000
27,405000
28,112500
29,121500
30,225000
31,135000
32,135000
33,202500
34,270000
35,225000
36,225000
37,585000
38,202500
39,112500
40,90900
41,99000
42,270000
43,67500
44,247500
45,405000
46,135000
47,292500
48,99000
49,585000
50,90000
51,495000
52,54000
53,306000
54,99000
55,180000
56,130500
57,225000
58,144000
59,360000
60,112500
61,270000
62,225000
63,315000
64,67500
65,40500
66,144000
67,157500
68,180000
69,157500
70,81000
71,202500
72,351000
73,180000
74,67500
75,315000
76,315000
77,135000
78,112500
79,225000
80,247500
81,135000
82,216000
83,180000
84,135000
85,184500
86,112500
87,270000
88,360000
89,450000
90,45000
91,202500
92,135000
93,202500
94,180000
95,79650
96,450000
97,157500
98,450000
99,270000
100,135000
101,81000
102,135000
103,315000
104,225000
105,135000
106,90000
107,306000
108,153000
109,126000
110,315000
111,225000
112,193500
113,90000
114,135000
115,81000
116,382500
117,202500
118,112500
119,144000
120,157500
121,144000
122,283500
123,202500
124,90000
125,360000
126,175500
127,360000
128,112500
129,315000
130,297000
131,202500
132,225000
133,387000
134,135000
135,337500
136,225000
137,225000
138,54000
139,157500
140,180000
141,112500
142,360000
143,256500
144,180000
145,202500
146,247500
147,157500
148,225000
149,112500
150,157500
151,360000
152,360000
153,180000
154,175500
155,90000
156,135000
157,157500
158,202500
159,153000
160,72000
161,360000
162,540000
163,155250
164,189000
165,139500
166,495000
167,459000
168,157500
169,225000
170,450000
171,135000
172,135000
173,189000
174,225000
175,112500
176,315000
177,157500
178,126000
179,315000
180,720000
181,90000
182,67500
183,157500
184,225000
185,180000
186,216000
187,157500
188,112500
189,112500
190,90000
191,121500
192,135000
193,202500
194,252000
195,202500
196,202500
197,360000
198,225000
199,360000
200,202500
201,225000
202,135000
203,360000
204,382500
205,171000
206,292500
207,144000
208,112500
209,81000
210,225000
211,315000
212,427500
213,78750
214,67500
215,121500
216,144000
217,135000
218,94500
219,562500
220,90000
221,72000
222,144000
223,202500
224,270000
225,180000
226,315000
227,180000
228,292500
229,90000
230,103500
231,67500
232,225000
233,112500
234,450000
235,247500
236,247500
237,112500
238,225000
239,270000
240,382500
241,202500
242,180000
243,112500
244,99000
245,157500
246,202500
247,90000
248,157500
249,180000
250,180000
251,202500
252,90000
253,225000
254,126000
255,180000
256,360000
257,157500
258,315000
259,270000
260,180000
261,180000
262,180000
263,180000
264,81000
265,67500
266,238500
267,202500
268,630000
269,405000
270,135000
271,112500
272,67500
273,135000
274,184500
275,337500
276,67500
277,90000
278,180000
279,112500
280,112500
281,76500
282,90000
283,252000
284,180000
285,112500
286,562500
287,112500
288,270000
289,90000
290,135000
291,157500
292,135000
293,301500
294,225000
295,135000
296,247500
297,270000
298,315000
299,135000
300,315000
301,180000
302,256500
303,180000
304,112500
305,382500
306,112500
307,450000
308,180000
309,247500
310,315000
311,229500
312,148500
313,135000
314,135000
315,166500
316,463500
317,90000
318,157500
319,225000
320,135000
321,202500
322,202500
323,405000
324,135000
325,225000
326,225000
327,126000
328,270000
329,90000
330,270000
331,157500
332,180000
333,184500
334,270000
335,99000
336,432000
337,180000
338,247500
339,180000
340,117000
341,121500
342,112500
343,90000
344,99000
345,180000
346,225000
347,135000
348,180000
349,135000
350,787500
351,270000
352,81000
353,180000
354,247500
355,225000
356,234000
357,225000
358,81000
359,135000
360,126000
361,225000
362,180000
363,306000
364,67500
365,90000
366,112500
367,247500
368,108000
369,135000
370,279000
371,112500
372,405000
373,450000
374,900000
375,270000
376,148500
377,90000
378,270000
379,112500
380,135000
381,180000
382,378000
383,99000
384,360000
385,81000
386,180000
387,630000
388,225000
389,81000
390,90000
391,225000
392,112500
393,202500
394,112500
395,180000
396,135000
397,67500
398,247500
399,31500
400,247500
401,135000
402,29250
403,72000
404,112500
405,135000
406,270000
407,202500
408,135000
409,157500
410,180000
411,202500
412,166500
413,94500
414,247500
415,180000
416,225000
417,225000
418,157500
419,135000
420,180000
421,180000
422,135000
423,148500
424,112500
425,135000
426,90000
427,270000
428,112500
429,135000
430,139500
431,135000
432,270000
433,225000
434,121500
435,225000
436,225000
437,135000
438,360000
439,112500
440,112500
441,157500
442,337500
443,315000
444,121500
445,67500
446,108000
447,144000
448,225000
449,121500
450,157500
451,270000
452,180000
453,45000
454,180000
455,135000
456,81000
457,112500
458,157500
459,112500
460,202500
461,211500
462,112500
463,157500
464,247500
465,202500
466,193500
467,225000
468,90000
469,108000
470,135000
471,270000
472,157500
473,135000
474,81000
475,247500
476,180000
477,126000
478,121500
479,90000
480,180000
481,180000
482,360000
483,225000
484,189000
485,270000
486,184500
487,270000
488,103500
489,112500
490,427500
491,270000
492,180000
493,67500
494,103500
495,112500
496,135000
497,207000
498,135000
499,225000
500,112500
501,49500
502,108000
503,157500
504,103500
505,270000
506,180000
507,112500
508,65250
509,360000
510,202500
511,265500
512,135000
513,202500
514,270000
515,112500
516,135000
517,112500
518,112500
519,135000
520,427500
521,315000
522,76500
523,135000
524,180000
525,234000
526,261000
527,157500
528,450000
529,157500
530,180000
531,427500
532,247500
533,157500
534,225000
535,126000
536,135000
537,270000
538,135000
539,360000
540,103500
541,135000
542,157500
543,148500
544,112500
545,135000
546,76500
547,225000
548,180000
549,216000
550,121500
551,247500
552,135000
553,202500
554,126000
555,135000
556,112500
557,40500
558,157500
559,225000
560,121500
561,108000
562,135000
563,135000
564,225000
565,225000
566,90000
567,315000
568,121500
569,157500
570,135000
571,81000
572,135000
573,234000
574,81000
575,216000
576,427500
577,315000
578,135000
579,157500
580,157500
581,180000
582,225000
583,112500
584,360000
585,225000
586,121500
587,135000
588,270000
589,112500
590,265500
591,225000
592,135000
593,225000
594,180000
595,112500
596,225000
597,135000
598,202500
599,81000
600,135000
601,247500
602,90000
603,180000
604,247500
605,112500
606,292500
607,99000
608,175500
609,135000
610,126000
611,157500
612,157500
613,148500
614,247500
615,270000
616,202500
617,81000
618,126000
619,225000
620,360000
621,90000
622,121500
623,126000
624,162000
625,157500
626,135000
627,94500
628,189000
629,112500
630,135000
631,81000
632,135000
633,427500
634,90000
635,193500
636,270000
637,157500
638,225000
639,112500
640,270000
641,360000
642,270000
643,157500
644,360000
645,90000
646,135000
647,297000
648,270000
649,135000
650,292500
651,180000
652,135000
653,112500
654,180000
